,Index,country_name_UN,country_id,city_name,type,citycode,y_coord,x_coord,pop,x_coord_OSM,y_coord_OSM
0,1,Afghanistan,4,Kabul,Capital,20002,34.528887,69.17246,4436.255,7700243,4100041
1,2,Albania,8,Tiranë (Tirana),Capital,20005,41.3275,19.81889,444.58,2206228,5060768
2,3,Algeria,12,El Djazaïr  (Algiers),Capital,20006,36.7525,3.04197,2559.445,338630,4404664
3,4,American Samoa,16,Pago Pago,Capital,20047,-14.27806,-170.7025,48.274,-19002515,-1606137
4,5,Andorra,20,Andorra la Vella,Capital,20048,42.50779,1.52109,23.449,169326,5237350
5,6,Angola,24,Luanda,Capital,20049,-8.83682,13.23432,5288.267,1473237,-987633
6,7,Anguilla,660,The Valley,Capital,22407,18.21704,-63.05783,1.039,-7019565,2062968
7,8,Antigua and Barbuda,28,St. John's,Capital,20052,17.11717,-61.84573,21.989,-6884635,1934468
8,9,Argentina,32,Buenos Aires,Capital,20058,-34.605083,-58.400368,15023.811,-6501099,-4110342
9,10,Armenia,51,Yerevan,Capital,20140,40.181998,44.514619,1048.641,4955344,4892425
10,11,Aruba,533,Oranjestad,Capital,21954,12.52398,-70.02703,29.041,-7795373,1405399
11,12,Australia,36,Canberra,Capital,206175,-35.28346,149.12807,414.684,16600860,-4202469
12,13,Austria,40,Wien (Vienna),Capital,20107,48.206443,16.370725,1743.284,1822380,6141268
13,14,Azerbaijan,31,Baku,Capital,20053,40.37767,49.89201,2317.14,5553953,4920976
14,15,Bahamas,44,Nassau,Capital,20108,25.05823,-77.34306,266.765,-8609790,2882898
15,16,Bahrain,48,Al-Manamah (Manama),Capital,20109,26.21536,50.5832,397.623,5630896,3025778
16,17,Bangladesh,50,Dhaka,Capital,20119,23.7104,90.40744,16982.363,10064110,2718158
17,18,Barbados,52,Bridgetown,Capital,20141,13.1,-59.61667,90.265,-6636497,1471159
18,19,Belarus,112,Minsk,Capital,20348,53.9,27.56667,1905.252,3068707,7151240
19,20,Belgium,56,Bruxelles-Brussel,Capital,20144,50.846735,4.349919,2028.657,484230,6594227
20,21,Belize,84,Belmopan,Capital,20310,17.25,-88.76667,16.921,-9881460,1949946
21,22,Benin,204,Cotonou,Economic Capital,20888,6.36536,2.41833,680.285,269207,710050
22,23,Benin,204,Porto-Novo,Constitutional Capital,20891,6.49646,2.60359,268.057,289830,724737
23,24,Bermuda,60,Hamilton,Capital,20150,32.29149,-64.77797,10.334,-7211050,3801634
24,25,Bhutan,64,Thimphu,Capital,20151,27.46609,89.64191,152.398,9978891,3181825
25,26,Bolivia (Plurinational State of),68,La Paz,Seat of Government,20153,-16.5,-68.15,1800.308,-7586423,-1862698
26,27,Bolivia (Plurinational State of),68,Sucre,Constitutional Capital,20158,-19.03332,-65.26274,358.337,-7265014,-2158859
27,28,Bosnia and Herzegovina,70,Sarajevo,Capital,20164,43.84864,18.35644,321.714,2043429,5442048
28,29,Botswana,72,Gaborone,Capital,20167,-24.65451,25.90859,246.562,2884131,-2833368
29,30,Brazil,76,Brasília,Capital,20187,-15.77972,-47.92972,4073.717,-5335512,-1779227
